Num;Code_SN;Code_DE
1;SN3;DE1
2;SN26;DE2
3;SN35;DE9
4;SN1g;DE3
5;SN36;DE4
6;SN23;DE1
7;SN14c;DE10
8;SN39;DE5
9;SN6g;DE2
10;SN15c;DE4
11;SN37;DE7
12;SN7;DE2
13;SN5c;DE4
14;SN3;DE6
15;SN1;DE1
16;SN33;DE7
17;SN25;DE8
18;SN3g;DE3
19;SN1c;DE9
20;SN27;DE8
21;SN35;DE8
22;SN26;DE1
23;SN6;DE2
24;SN1g;DE3
25;SN15c;DE4
26;SN38;DE6
27;SN6g;DE9
28;SN1;DE5
29;SN36;DE7
30;SN27;DE1
31;SN3;DE10
32;SN7;DE2
33;SN25;DE10
34;SN11c;DE8
35;SN33;DE6
36;SN20;DE9
37;SN7c;DE4
38;SN4;DE7
39;SN37;DE3
40;SN14c;DE5
41;SN1;DE1
42;SN3;DE2
43;SN7;DE3
44;SN26;DE4
45;SN38;DE9
46;SN39;DE5
47;SN1g;DE8
48;SN37;DE6
49;SN33;DE7
50;SN36;DE10
51;SN5;DE3
52;SN14c;DE2
53;SN27;DE6
54;SN8;DE5
55;SN23;DE4
56;SN4;DE9
57;SN15c;DE7
58;SN25;DE8
59;SN5g;DE1
60;SN6;DE10
61;SN1;DE1
62;SN36;DE9
63;SN39;DE2
64;SN26;DE4
65;SN4;DE3
66;SN35;DE7
67;SN8;DE6
68;SN7;DE2
69;SN3;DE1
70;SN20;DE5
71;SN9;DE8
72;SN14c;DE9
73;SN1c;DE4
74;SN37;DE3
75;SN34;DE10
76;SN23;DE7
77;SN24;DE1
78;SN38;DE5
79;SN33;DE8
80;SN6;DE2
81;SN1;DE1
82;SN25;DE2
83;SN24;DE9
84;SN26;DE4
85;SN8;DE3
86;SN36;DE8
87;SN37;DE7
88;SN33;DE5
89;SN39;DE6
90;SN6;DE4
91;SN35;DE9
92;SN14c;DE10
93;SN9c;DE7
94;SN4g;DE3
95;SN23;DE2
96;SN35;DE5
97;SN38;DE6
98;SN15c;DE10
99;SN39;DE9
100;SN27;DE2
101;SN1;DE1
102;SN27;DE2
103;SN7;DE3
104;SN8;DE9
105;SN33;DE4
106;SN35;DE5
107;SN15c;DE8
108;SN37;DE7
109;SN36;DE9
110;SN23;DE6
111;SN39;DE4
112;SN26;DE1
113;SN14c;DE8
114;SN38;DE3
115;SN35;DE6
116;SN4c;DE5
117;SN1c;DE7
118;SN25;DE10
119;SN12c;DE2
120;SN6;DE1
121;SN36;DE1
122;SN6;DE4
123;SN39;DE9
124;SN33;DE5
125;SN3;DE3
126;SN1g;DE2
127;SN26;DE1
128;SN15c;DE8
129;SN21;DE6
130;SN25;DE10
131;SN35;DE4
132;SN14c;DE7
133;SN7c;DE9
134;SN4c;DE8
135;SN27;DE3
136;SN1;DE5
137;SN7;DE2
138;SN6g;DE10
139;SN10;DE7
140;SN36;DE2
141;SN26;DE1
142;SN39;DE5
143;SN23;DE3
144;SN33;DE9
145;SN15c;DE4
146;SN4g;DE8
147;SN13c;DE6
148;SN35;DE7
149;SN37;DE5
150;SN1;DE9
151;SN31;DE3
152;SN7c;DE5
153;SN6g;DE1
154;SN24;DE2
155;SN1c;DE4
156;SN7;DE8
157;SN36;DE4
158;SN27;DE6
159;SN10;DE9
160;SN1;DE1
161;SN26;DE4
162;SN36;DE2
163;SN35;DE9
164;SN1g;DE3
165;SN6;DE5
166;SN20;DE6
167;SN13c;DE7
168;SN3;DE4
169;SN31;DE3
170;SN24;DE2
171;SN4c;DE8
172;SN40;DE1
173;SN5;DE3
174;SN15c;DE4
175;SN2g;DE6
176;SN33;DE9
177;SN39;DE5
178;SN36;DE4
179;SN26;DE1
180;SN39;DE2
181;SN8;DE3
182;SN35;DE5
183;SN14c;DE9
184;SN15c;DE8
185;SN4c;DE6
186;SN23;DE1
187;SN33;DE9
188;SN25;DE2
189;SN10;DE10
190;SN9c;DE1
191;SN12c;DE4
192;SN13c;DE5
193;SN1g;DE3
194;SN6;DE6
195;SN7c;DE7
196;SN37;DE5
197;SN9;DE4
198;SN1;DE1
199;SN26;DE2
200;SN24;DE9
201;SN36;DE8
202;SN38;DE4
203;SN35;DE7
204;SN8;DE3
205;SN33;DE6
206;SN39;DE5
207;SN29;DE6
208;SN23;DE1
209;SN40;DE2
210;SN7;DE3
211;SN27;DE10
212;SN14c;DE4
213;SN25;DE8
214;SN21;DE5
215;SN31;DE7
216;SN1g;DE9
217;SN6;DE4
218;SN1;DE4
219;SN5;DE9
220;SN36;DE1
221;SN1g;DE3
222;SN13c;DE9
223;SN7c;DE8
224;SN1;DE9
225;SN26;DE2
226;SN36;DE1
227;SN15c;DE4
228;SN1g;DE3
229;SN7c;DE8
230;SN38;DE6
231;SN37;DE7
232;SN3c;DE4
233;SN5;DE5
234;SN4;DE3
235;SN6g;DE2
236;SN4g;DE6
237;SN35;DE5
238;SN39;DE10
239;SN7;DE1
240;SN23;DE8
241;SN14c;DE4
242;SN11c;DE6
243;SN33;DE10
244;SN36;DE1
245;SN26;DE2
246;SN39;DE5
247;SN35;DE9
248;SN3;DE4
249;SN1g;DE3
250;SN25;DE6
251;SN15c;DE7
252;SN14c;DE8
253;SN33;DE3
