Num;Code_SN;Code_DE
1;SN35;DE7
2;SN36;DE9
3;SN39;DE4
4;SN7c;DE5
5;SN33;DE3
6;SN14c;DE6
7;SN1;DE8
8;SN6c;DE4
9;SN9;DE5
10;SN13c;DE2
11;SN10;DE1
12;SN11c;DE9
13;SN22;DE6
14;SN30;DE3
15;SN7;DE8
16;SN24;DE1
17;SN6g;DE4
18;SN29;DE7
19;SN4c;DE8
20;SN35;DE5
21;SN36;DE4
22;SN39;DE9
23;SN40;DE6
24;SN4;DE3
25;SN25;DE8
26;SN15c;DE1
27;SN33;DE7
28;SN7c;DE10
29;SN1g;DE2
30;SN37;DE5
31;SN38;DE9
32;SN3;DE7
33;SN30;DE3
34;SN14c;DE4
35;SN6;DE1
36;SN6c;DE8
37;SN11c;DE2
38;SN23;DE1
39;SN29;DE7
40;SN35;DE7
41;SN15c;DE4
42;SN39;DE5
43;SN1g;DE1
44;SN9;DE6
45;SN6c;DE3
46;SN36;DE9
47;SN25;DE2
48;SN33;DE8
49;SN21;DE5
50;SN11c;DE10
51;SN10;DE9
52;SN7c;DE7
53;SN5;DE4
54;SN22;DE6
55;SN6;DE1
56;SN38;DE2
57;SN14c;DE5
58;SN12c;DE8
59;SN13c;DE3
60;SN35;DE7
61;SN36;DE4
62;SN25;DE3
63;SN39;DE5
64;SN4;DE9
65;SN33;DE6
66;SN6c;DE8
67;SN38;DE2
68;SN26;DE1
69;SN10;DE3
70;SN29;DE5
71;SN22;DE10
72;SN3;DE4
73;SN14c;DE2
74;SN7c;DE9
75;SN1;DE4
76;SN37;DE6
77;SN1g;DE1
78;SN4c;DE8
79;SN9;DE5
80;SN35;DE9
81;SN36;DE1
82;SN6c;DE7
83;SN39;DE4
84;SN40;DE5
85;SN25;DE3
86;SN33;DE8
87;SN38;DE2
88;SN14c;DE6
89;SN22;DE7
90;SN1;DE4
91;SN1c;DE9
92;SN15c;DE6
93;SN30;DE5
94;SN23;DE8
95;SN13c;DE3
96;SN39;DE10
97;SN29;DE6
98;SN10;DE9
99;SN24;DE2
100;SN35;DE7
101;SN36;DE4
102;SN11c;DE5
103;SN33;DE9
104;SN39;DE6
105;SN13c;DE8
106;SN1;DE3
107;SN7c;DE10
108;SN38;DE2
109;SN12c;DE4
110;SN14c;DE9
111;SN40;DE5
112;SN15c;DE6
113;SN37;DE8
114;SN36;DE1
115;SN23;DE3
116;SN26;DE1
117;SN12c;DE9
118;SN35;DE7
119;SN6g;DE6
120;SN35;DE7
121;SN39;DE4
122;SN7c;DE9
123;SN25;DE3
124;SN36;DE1
125;SN3;DE6
126;SN40;DE5
127;SN13c;DE8
128;SN29;DE6
129;SN30;DE3
130;SN26;DE4
131;SN6c;DE10
132;SN1;DE2
133;SN4c;DE8
134;SN14c;DE9
135;SN38;DE5
136;SN21;DE6
137;SN10;DE1
138;SN11c;DE5
139;SN6;DE4
140;SN14c;DE4
141;SN35;DE7
142;SN39;DE3
143;SN7c;DE10
144;SN38;DE2
145;SN1;DE6
146;SN6;DE8
147;SN37;DE5
148;SN4c;DE9
149;SN33;DE3
150;SN7;DE2
151;SN3;DE1
152;SN5;DE1
153;SN39;DE5
154;SN29;DE7
155;SN22;DE3
156;SN25;DE9
157;SN36;DE6
158;SN30;DE5
159;SN10;DE9
160;SN35;DE7
161;SN15c;DE4
162;SN7c;DE9
163;SN14c;DE1
164;SN5g;DE2
165;SN2g;DE5
166;SN39;DE8
167;SN3;DE6
168;SN33;DE3
169;SN7;DE9
170;SN37;DE5
171;SN1g;DE2
172;SN25;DE6
173;SN13c;DE7
174;SN6g;DE5
175;SN38;DE10
176;SN4c;DE8
177;SN26;DE1
178;SN6;DE4
179;SN39;DE6
180;SN35;DE5
181;SN36;DE9
182;SN14c;DE7
183;SN1;DE4
184;SN25;DE8
185;SN38;DE2
186;SN6;DE6
187;SN1g;DE1
188;SN11c;DE3
189;SN10;DE9
190;SN2g;DE4
191;SN15c;DE8
192;SN9;DE1
193;SN7c;DE5
194;SN12c;DE4
195;SN33;DE6
196;SN1c;DE9
197;SN22;DE3
198;SN39;DE10
199;SN35;DE4
200;SN36;DE1
201;SN39;DE7
202;SN1g;DE9
203;SN38;DE3
204;SN7c;DE5
205;SN4;DE8
206;SN29;DE7
207;SN37;DE6
208;SN33;DE4
209;SN9;DE1
210;SN8;DE2
211;SN22;DE3
212;SN1;DE4
213;SN14c;DE1
214;SN25;DE8
215;SN12c;DE2
216;SN30;DE6
217;SN6c;DE10
218;SN40;DE5
219;SN35;DE5
220;SN39;DE4
221;SN7c;DE7
222;SN10;DE9
223;SN22;DE3
224;SN6c;DE8
225;SN1g;DE1
226;SN25;DE6
227;SN33;DE2
228;SN30;DE6
229;SN36;DE4
230;SN7;DE2
231;SN6g;DE1
232;SN11c;DE9
233;SN4c;DE3
234;SN1;DE8
235;SN26;DE10
236;SN6;DE5
237;SN37;DE10
238;SN4;DE7
239;SN39;DE7
240;SN14c;DE4
241;SN35;DE9
242;SN33;DE6
243;SN10;DE1
244;SN38;DE8
245;SN36;DE5
246;SN25;DE2
247;SN1;DE1
248;SN3;DE3
249;SN7;DE2
250;SN4;DE5
251;SN1g;DE9
252;SN37;DE6
253;SN11c;DE7
254;SN15c;DE8
255;SN6;DE1
256;SN13c;DE5
257;SN7c;DE9
258;SN35;DE7
259;SN39;DE9
260;SN7c;DE3
261;SN33;DE5
262;SN6c;DE4
263;SN15c;DE9
264;SN13c;DE2
265;SN5c;DE6
266;SN22;DE6
267;SN37;DE9
268;SN36;DE8
269;SN25;DE1
270;SN11c;DE5
271;SN35;DE10
272;SN6;DE4
273;SN14c;DE3
274;SN1g;DE2
275;SN1c;DE3
276;SN34;DE1
277;SN4;DE9
278;SN35;DE7
279;SN15c;DE5
280;SN36;DE4
281;SN22;DE6
282;SN39;DE9
283;SN4;DE3
284;SN6;DE1
285;SN7c;DE8
286;SN37;DE6
287;SN25;DE10
288;SN3;DE7
289;SN33;DE9
290;SN4c;DE2
291;SN14c;DE1
292;SN10;DE8
293;SN9c;DE5
294;SN38;DE3
295;SN6c;DE7
296;SN7;DE2
