Num;Code_SN;Code_DE
1;SN1;DE6
2;SN25;DE4
3;SN33;DE8
4;SN26;DE1
5;SN10;DE10
6;SN6c;DE9
7;SN9;DE5
8;SN14c;DE2
9;SN37;DE7
10;SN34;DE3
11;SN6g;DE4
12;SN15c;DE3
13;SN38;DE2
14;SN22;DE5
15;SN24;DE7
16;SN36;DE1
17;SN35;DE3
18;SN1g;DE4
19;SN4;DE5
20;SN4c;DE8
21;SN4c;DE9
22;SN35;DE7
23;SN39;DE5
24;SN26;DE6
25;SN15c;DE8
26;SN11c;DE3
27;SN14c;DE1
28;SN7c;DE2
29;SN37;DE6
30;SN34;DE4
31;SN13c;DE3
32;SN30;DE10
33;SN33;DE8
34;SN40;DE6
35;SN22;DE5
36;SN36;DE2
37;SN9c;DE9
38;SN10c;DE1
39;SN3c;DE4
40;SN5;DE7
41;SN39;DE5
42;SN35;DE9
43;SN14c;DE1
44;SN4c;DE7
45;SN26;DE2
46;SN33;DE5
47;SN7c;DE8
48;SN22;DE3
49;SN36;DE4
50;SN1;DE6
51;SN3g;DE4
52;SN3c;DE1
53;SN40;DE6
54;SN25;DE9
55;SN11c;DE7
56;SN29;DE5
57;SN6;DE1
58;SN15c;DE4
59;SN6c;DE10
60;SN7c;DE7
61;SN39;DE7
62;SN33;DE5
63;SN37;DE6
64;SN15c;DE4
65;SN6g;DE1
66;SN35;DE3
67;SN10;DE2
68;SN1;DE9
69;SN7;DE8
70;SN4;DE5
71;SN6c;DE6
72;SN14c;DE9
73;SN34;DE8
74;SN9c;DE5
75;SN11c;DE3
76;SN36;DE1
77;SN4c;DE4
78;SN7c;DE6
79;SN33;DE10
80;SN12c;DE2
81;SN39;DE4
82;SN7c;DE8
83;SN1;DE5
84;SN10;DE9
85;SN26;DE1
86;SN6c;DE3
87;SN38;DE2
88;SN33;DE7
89;SN15c;DE6
90;SN14c;DE2
91;SN6g;DE5
92;SN9;DE3
93;SN11c;DE7
94;SN36;DE1
95;SN3;DE6
96;SN4;DE8
97;SN22;DE10
98;SN6;DE4
99;SN37;DE5
100;SN34;DE2
101;SN35;DE5
102;SN36;DE9
103;SN14c;DE1
104;SN26;DE7
105;SN10;DE2
106;SN7c;DE8
107;SN39;DE6
108;SN1;DE4
109;SN29;DE7
