Num;Code_SN;Code_DE
1;SN35;DE5
2;SN39;DE9
3;SN40;DE4
4;SN14c;DE1
5;SN6c;DE6
6;SN38;DE3
7;SN13c;DE8
8;SN36;DE4
9;SN22;DE7
10;SN9;DE9
11;SN26;DE5
12;SN4;DE3
13;SN29;DE6
14;SN6;DE7
15;SN33;DE2
16;SN1;DE8
17;SN12c;DE5
18;SN25;DE1
19;SN30;DE10
20;SN7;DE2
21;SN4c;DE9
22;SN4c;DE3
23;SN14c;DE9
24;SN35;DE5
25;SN38;DE2
26;SN39;DE4
27;SN6;DE7
28;SN26;DE1
29;SN40;DE6
30;SN37;DE8
31;SN24;DE9
32;SN33;DE3
33;SN25;DE5
34;SN36;DE1
35;SN10;DE9
36;SN22;DE8
37;SN9;DE4
38;SN1g;DE2
39;SN5;DE5
40;SN7c;DE10
41;SN6c;DE4
42;SN35;DE7
43;SN39;DE6
44;SN33;DE5
45;SN6c;DE9
46;SN14c;DE4
47;SN36;DE1
48;SN38;DE8
49;SN7;DE2
50;SN7c;DE3
51;SN24;DE9
52;SN25;DE6
53;SN26;DE1
54;SN29;DE5
55;SN33;DE2
56;SN7c;DE7
57;SN40;DE5
58;SN23;DE4
59;SN34;DE8
60;SN6;DE10
61;SN11c;DE3
62;SN39;DE9
63;SN35;DE7
64;SN7c;DE8
65;SN40;DE4
66;SN15c;DE1
67;SN33;DE2
68;SN14c;DE6
69;SN38;DE3
70;SN23;DE1
71;SN1c;DE8
72;SN36;DE4
73;SN12c;DE9
74;SN29;DE7
75;SN1;DE2
76;SN5g;DE3
77;SN6c;DE4
78;SN6g;DE5
79;SN35;DE6
80;SN37;DE3
81;SN11c;DE10
82;SN33;DE9
83;SN35;DE7
84;SN39;DE4
85;SN15c;DE8
86;SN36;DE3
87;SN26;DE1
88;SN22;DE6
89;SN38;DE2
90;SN24;DE5
91;SN10;DE9
92;SN30;DE6
93;SN29;DE3
94;SN6c;DE8
95;SN40;DE5
96;SN13c;DE2
97;SN1;DE4
98;SN25;DE7
99;SN37;DE6
100;SN12c;DE9
101;SN14c;DE1
102;SN39;DE5
103;SN15c;DE9
104;SN3;DE3
105;SN35;DE4
106;SN33;DE8
107;SN26;DE1
108;SN4;DE7
109;SN40;DE6
110;SN7;DE2
111;SN36;DE4
112;SN23;DE5
113;SN10;DE1
114;SN5;DE10
115;SN29;DE6
116;SN6c;DE8
117;SN39;DE3
118;SN37;DE7
119;SN14c;DE9
120;SN30;DE6
121;SN25;DE2
122;SN15c;DE9
123;SN35;DE7
124;SN39;DE5
125;SN6c;DE8
126;SN4c;DE1
127;SN1c;DE4
128;SN2g;DE6
129;SN40;DE5
130;SN38;DE9
131;SN3;DE4
132;SN6g;DE3
133;SN22;DE7
134;SN33;DE10
135;SN36;DE1
136;SN4;DE3
137;SN14c;DE2
138;SN26;DE6
139;SN6;DE4
140;SN24;DE8
141;SN39;DE5
142;SN35;DE7
143;SN33;DE9
144;SN6c;DE8
145;SN7c;DE3
146;SN36;DE4
147;SN22;DE2
148;SN38;DE6
149;SN26;DE5
150;SN4;DE3
151;SN1;DE4
152;SN14c;DE2
153;SN1g;DE9
154;SN3;DE7
155;SN10;DE1
156;SN25;DE9
157;SN37;DE6
158;SN11c;DE5
159;SN6g;DE2
160;SN39;DE5
161;SN35;DE6
162;SN7c;DE8
163;SN36;DE4
164;SN6c;DE7
165;SN7;DE2
166;SN40;DE6
167;SN33;DE1
168;SN23;DE7
169;SN35;DE4
170;SN1;DE1
171;SN30;DE3
172;SN11c;DE9
173;SN14c;DE2
174;SN10;DE4
175;SN13c;DE9
176;SN37;DE6
177;SN25;DE5
178;SN1g;DE2
179;SN26;DE5
180;SN4c;DE9
181;SN14c;DE8
182;SN6c;DE4
183;SN35;DE7
184;SN39;DE5
185;SN40;DE6
186;SN33;DE2
187;SN36;DE1
188;SN38;DE3
189;SN26;DE6
190;SN22;DE3
191;SN37;DE10
192;SN15c;DE4
193;SN5g;DE9
194;SN1g;DE1
195;SN12c;DE8
196;SN30;DE7
197;SN10;DE1
198;SN25;DE6
199;SN6g;DE5
200;SN39;DE9
201;SN35;DE3
202;SN33;DE7
203;SN7c;DE2
204;SN36;DE4
205;SN15c;DE6
206;SN38;DE5
207;SN40;DE4
208;SN14c;DE1
209;SN4;DE8
210;SN25;DE7
211;SN37;DE6
212;SN26;DE1
213;SN21;DE10
214;SN30;DE3
215;SN23;DE8
216;SN13c;DE5
217;SN35;DE2
218;SN39;DE1
219;SN14c;DE9
