Num;Code_SN;Code_DE
1;SN4c;DE9
2;SN8;DE2
3;SN6c;DE5
4;SN13c;DE7
5;SN11c;DE6
6;SN1;DE1
7;SN39;DE4
8;SN14c;DE3
9;SN7c;DE8
10;SN10c;DE9
11;SN33;DE10
12;SN2g;DE4
13;SN35;DE6
14;SN25;DE8
15;SN9;DE5
16;SN23;DE7
17;SN7;DE3
18;SN36;DE2
19;SN29;DE1
20;SN40;DE6
21;SN1;DE5
22;SN5;DE9
23;SN7c;DE7
24;SN6c;DE4
25;SN35;DE3
26;SN4;DE2
27;SN25;DE8
28;SN6g;DE1
29;SN39;DE5
30;SN10;DE9
31;SN33;DE6
32;SN38;DE2
33;SN29;DE7
34;SN36;DE4
35;SN4c;DE3
36;SN14c;DE1
37;SN13c;DE9
38;SN35;DE6
39;SN9;DE1
40;SN34;DE8
41;SN35;DE7
42;SN39;DE4
43;SN6c;DE8
44;SN1g;DE5
45;SN30;DE6
46;SN36;DE1
47;SN1;DE3
48;SN7c;DE9
49;SN33;DE5
50;SN14c;DE4
51;SN7;DE7
52;SN25;DE5
53;SN34;DE8
54;SN38;DE2
55;SN29;DE6
56;SN23;DE1
57;SN37;DE5
58;SN26;DE3
59;SN40;DE2
60;SN4c;DE4
61;SN39;DE5
62;SN35;DE7
63;SN6c;DE9
64;SN33;DE5
65;SN14c;DE6
66;SN36;DE1
67;SN11c;DE9
68;SN7c;DE3
69;SN6g;DE2
70;SN22;DE7
71;SN13c;DE8
72;SN23;DE6
73;SN15c;DE4
74;SN5;DE10
75;SN37;DE6
76;SN1;DE1
77;SN38;DE2
78;SN6;DE4
79;SN26;DE1
80;SN4c;DE9
81;SN1g;DE4
82;SN6c;DE8
83;SN7;DE3
84;SN39;DE5
85;SN5;DE2
86;SN13c;DE6
87;SN26;DE1
88;SN14c;DE10
89;SN35;DE5
90;SN33;DE7
91;SN23;DE4
92;SN7c;DE6
93;SN2g;DE3
94;SN6g;DE10
95;SN36;DE2
96;SN15c;DE8
97;SN25;DE9
98;SN22;DE7
99;SN30;DE1
100;SN33;DE9
101;SN39;DE4
102;SN15c;DE7
103;SN7c;DE5
104;SN35;DE1
105;SN14c;DE2
106;SN25;DE6
107;SN36;DE9
108;SN1;DE3
109;SN34;DE5
110;SN35;DE9
111;SN1g;DE1
112;SN6c;DE4
113;SN39;DE5
114;SN4;DE3
115;SN36;DE6
116;SN7c;DE7
117;SN3g;DE2
118;SN29;DE5
119;SN14c;DE8
120;SN25;DE10
121;SN34;DE1
122;SN1;DE4
123;SN10;DE3
124;SN15c;DE4
125;SN26;DE1
126;SN33;DE8
127;SN13c;DE6
128;SN37;DE7
129;SN30;DE5
130;SN1;DE5
131;SN4c;DE4
132;SN6c;DE9
133;SN15c;DE8
134;SN35;DE6
135;SN6;DE3
136;SN14c;DE1
137;SN7c;DE5
138;SN1g;DE2
139;SN33;DE9
140;SN39;DE4
141;SN5g;DE10
142;SN23;DE7
143;SN26;DE1
144;SN34;DE8
145;SN13c;DE4
146;SN37;DE6
147;SN36;DE1
148;SN3;DE2
149;SN38;DE3
150;SN4c;DE7
151;SN1g;DE5
152;SN6c;DE6
153;SN15c;DE9
154;SN14c;DE1
155;SN39;DE6
156;SN36;DE8
157;SN7c;DE3
158;SN35;DE5
159;SN1;DE4
160;SN2g;DE10
161;SN26;DE1
162;SN10;DE4
163;SN38;DE2
164;SN33;DE6
165;SN37;DE5
166;SN34;DE8
167;SN12c;DE4
168;SN24;DE2
169;SN6g;DE2
170;SN1;DE9
171;SN1g;DE1
172;SN7c;DE7
173;SN6c;DE4
174;SN39;DE5
175;SN35;DE6
176;SN29;DE8
177;SN15c;DE3
178;SN23;DE7
179;SN11c;DE9
180;SN6g;DE2
181;SN2;DE3
182;SN33;DE5
183;SN36;DE1
184;SN14c;DE8
185;SN37;DE6
186;SN12c;DE10
187;SN6;DE4
188;SN13c;DE3
189;SN38;DE2
190;SN4c;DE5
191;SN39;DE7
192;SN6c;DE4
193;SN35;DE3
194;SN33;DE6
195;SN7c;DE8
196;SN14c;DE9
197;SN25;DE7
198;SN36;DE1
199;SN6;DE4
200;SN23;DE2
201;SN4;DE9
202;SN39;DE6
203;SN5;DE3
204;SN38;DE8
205;SN15c;DE10
206;SN16c;DE2
207;SN6g;DE1
208;SN10;DE6
209;SN13c;DE4
210;SN1;DE9
211;SN39;DE4
212;SN15c;DE7
213;SN7c;DE5
214;SN1g;DE1
215;SN35;DE6
216;SN29;DE8
217;SN14c;DE4
218;SN33;DE9
219;SN23;DE6
220;SN36;DE1
221;SN25;DE2
222;SN6g;DE3
223;SN4c;DE9
224;SN13c;DE7
225;SN12c;DE5
226;SN11c;DE6
227;SN31;DE4
228;SN38;DE2
229;SN4c;DE9
230;SN39;DE5
231;SN6c;DE4
232;SN35;DE7
233;SN33;DE6
234;SN7c;DE8
235;SN15c;DE10
236;SN7;DE2
237;SN25;DE4
238;SN4c;DE9
239;SN36;DE5
240;SN6c;DE4
241;SN35;DE7
242;SN39;DE8
243;SN7;DE2
244;SN23;DE6
245;SN5;DE3
246;SN10;DE1
247;SN14c;DE9
248;SN26;DE5
249;SN22;DE3
250;SN15c;DE4
251;SN33;DE7
252;SN25;DE2
253;SN24;DE1
254;SN13c;DE8
255;SN9;DE6
256;SN9c;DE10
257;SN37;DE5
258;SN33;DE9
259;SN35;DE5
260;SN15c;DE4
261;SN1g;DE1
262;SN7c;DE8
263;SN39;DE6
264;SN29;DE7
265;SN13c;DE3
266;SN37;DE5
267;SN16c;DE1
268;SN6;DE4
269;SN5;DE3
270;SN35;DE8
271;SN6c;DE9
272;SN38;DE2
273;SN26;DE6
274;SN37;DE10
275;SN14c;DE2
276;SN10;DE4
