Num;Code_SN;Code_DE
1;SN39;DE7
2;SN35;DE3
3;SN36;DE4
4;SN14c;DE1
5;SN25;DE8
6;SN6g;DE5
7;SN26;DE6
8;SN33;DE10
9;SN1;DE4
10;SN7;DE2
11;SN24;DE2
12;SN37;DE5
13;SN35;DE9
14;SN7c;DE3
15;SN10;DE5
16;SN38;DE9
17;SN16c;DE2
18;SN1g;DE4
19;SN6;DE6
20;SN12c;DE8
21;SN39;DE5
22;SN7c;DE2
23;SN35;DE4
24;SN14c;DE9
25;SN6;DE4
26;SN25;DE8
27;SN33;DE6
28;SN10;DE1
29;SN24;DE7
30;SN1g;DE3
31;SN12c;DE8
32;SN23;DE2
33;SN30;DE7
34;SN1;DE1
35;SN37;DE5
36;SN38;DE3
37;SN7;DE2
38;SN26;DE5
39;SN5;DE6
40;SN11c;DE9
41;SN39;DE7
42;SN4c;DE4
43;SN10;DE2
44;SN36;DE1
45;SN14c;DE4
46;SN25;DE9
47;SN26;DE5
48;SN7c;DE6
49;SN35;DE3
50;SN33;DE2
51;SN11c;DE9
52;SN6g;DE5
53;SN4;DE3
54;SN12c;DE7
55;SN7;DE2
56;SN1g;DE1
57;SN37;DE6
58;SN13c;DE8
59;SN29;DE5
60;SN39;DE6
61;SN33;DE7
62;SN14c;DE4
63;SN36;DE1
64;SN38;DE9
65;SN6g;DE5
66;SN35;DE3
67;SN1;DE2
68;SN26;DE8
69;SN12c;DE10
70;SN37;DE5
71;SN33;DE2
72;SN3c;DE1
73;SN35;DE3
74;SN25;DE10
75;SN29;DE6
76;SN35;DE8
77;SN30;DE7
78;SN24;DE2
79;SN6;DE4
80;SN35;DE7
81;SN25;DE4
82;SN12c;DE9
83;SN29;DE6
84;SN39;DE9
85;SN24;DE2
86;SN4;DE3
87;SN26;DE1
88;SN37;DE5
89;SN33;DE1
90;SN7c;DE8
91;SN11c;DE5
92;SN13c;DE4
93;SN16c;DE2
94;SN10;DE3
95;SN6c;DE8
96;SN7;DE2
97;SN14c;DE4
98;SN37;DE7
99;SN39;DE7
100;SN35;DE2
101;SN24;DE9
102;SN36;DE4
103;SN25;DE1
104;SN6g;DE5
105;SN33;DE3
106;SN22;DE6
107;SN14c;DE8
108;SN37;DE5
109;SN5;DE4
110;SN26;DE7
111;SN38;DE6
112;SN37;DE7
113;SN7;DE2
114;SN29;DE5
115;SN2c;DE3
116;SN30;DE6
117;SN39;DE5
118;SN14c;DE9
119;SN6;DE4
120;SN33;DE6
121;SN35;DE8
122;SN7c;DE3
123;SN29;DE7
124;SN26;DE1
125;SN23;DE2
126;SN37;DE6
127;SN12c;DE9
128;SN1;DE4
129;SN31;DE5
130;SN36;DE1
131;SN25;DE10
132;SN11c;DE2
133;SN24;DE2
134;SN6c;DE4
135;SN15c;DE3
136;SN10;DE1
137;SN39;DE5
138;SN6c;DE4
139;SN36;DE1
140;SN4;DE9
141;SN6;DE4
142;SN35;DE7
143;SN26;DE6
144;SN37;DE5
145;SN33;DE2
146;SN7;DE9
147;SN38;DE3
148;SN6g;DE8
149;SN25;DE6
150;SN10;DE1
151;SN14c;DE2
152;SN36;DE3
153;SN4c;DE10
154;SN24;DE6
155;SN7c;DE8
156;SN14c;DE8
157;SN39;DE7
158;SN35;DE5
159;SN36;DE4
160;SN38;DE9
161;SN14c;DE1
162;SN25;DE6
163;SN6g;DE8
164;SN4c;DE2
165;SN33;DE3
166;SN26;DE7
167;SN12c;DE1
168;SN5c;DE4
169;SN40;DE2
170;SN37;DE6
171;SN7c;DE10
172;SN10;DE2
173;SN11c;DE7
174;SN6;DE4
175;SN30;DE5
176;SN23;DE3
177;SN39;DE9
178;SN35;DE7
179;SN36;DE4
180;SN14c;DE1
181;SN4;DE4
182;SN10;DE8
183;SN26;DE5
184;SN33;DE1
185;SN37;DE6
186;SN30;DE7
187;SN4c;DE3
188;SN9;DE5
189;SN38;DE9
190;SN35;DE10
191;SN33;DE2
192;SN24;DE6
193;SN1;DE9
194;SN7;DE2
195;SN6c;DE3
196;SN36;DE4
197;SN39;DE7
198;SN35;DE4
199;SN29;DE9
200;SN6;DE1
201;SN33;DE3
202;SN38;DE2
203;SN40;DE5
204;SN25;DE6
205;SN6c;DE8
206;SN34;DE10
207;SN23;DE3
208;SN26;DE5
209;SN24;DE9
210;SN10;DE1
211;SN35;DE6
212;SN1;DE4
213;SN11c;DE3
214;SN27;DE4
215;SN7;DE2
216;SN39;DE6
217;SN4c;DE5
218;SN7;DE2
219;SN14c;DE4
220;SN5;DE3
221;SN35;DE9
222;SN6;DE1
223;SN1g;DE8
224;SN13c;DE5
225;SN12c;DE4
226;SN26;DE7
227;SN33;DE3
228;SN37;DE6
229;SN7c;DE9
230;SN11c;DE10
231;SN36;DE4
232;SN8;DE5
233;SN2c;DE2
234;SN40;DE7
235;SN29;DE8
236;SN39;DE7
237;SN35;DE9
238;SN36;DE1
239;SN6;DE4
240;SN33;DE5
241;SN29;DE6
242;SN25;DE3
243;SN31;DE2
244;SN37;DE8
245;SN22;DE10
246;SN5;DE4
247;SN12c;DE1
248;SN26;DE5
249;SN14c;DE8
250;SN6c;DE3
251;SN10;DE4
252;SN24;DE2
253;SN4;DE3
254;SN30;DE6
255;SN5c;DE8
